name,code2d,code3d
English,en,eng
French,fr,fra
Italian,it,ita
Spanish,es,esp
German,de,deu
Russian,ru,rus
Chinese,zh,zho
Arabic,ar,ara
Hindi,hi,hin
Japanese,ja,jpn
Portuguese,pt,por
Turkish,tr,tur
Danish,da,dan
Bengali,bn,ben
Maltese,mt,mlt
Lithuanian,lt,lit
Malay,ms,msa
Malagasy,mg,mlg
Latvian,lv,lav
Norwegian,no,nor
Serbian,sr,srp
Swedish,sv,swe
Tagalog,tl,tgl
Albanian,sq,sqi
Basque,eu,eus
Bosnian,bs,bos
Catalan,ca,cat
Croatian,hr,hrv
Czech,cs,ces
Dutch,nl,nld
Estonian,et,est
Finnish,fi,fin
Hebrew,he,heb
Hungarian,hu,hun
Indonesian,id,ind
Irish,ga,gle
Icelandic,is,isl
Khmer,km,khm
Korean,ko,kor
Latin,la,lat
Macedonian,mk,mkd
Greek,el,ell
Bulgarian,bg,bul
Polish,pl,pol
Romanian,ro,ron
Sanskrit,sa,san
Slovak,sk,slk
Slovene,sl,slv
Tamil,ta,tam
Thai,th,tha
Turkmen,tk,tuk